"NACE","Sector","ETS_n","ETS_yrs","Full_n","ETS_p90p10","Full_p90p10","ETS_log9010","Full_log9010","Ratio_p90p10"
"10","Food",23,17,213,8,57.2,2.05,3.98,7.1
"11","Beverages",5,17,42,6.7,30,1.61,3.11,4.5
"12","Tobacco",,,4,,8.6,,1.83,
"13","Textiles",9,17,29,5.4,56.3,1.61,3.66,10.3
"14","Wearing apparel",,,7,,218.2,,3.98,
"15","Leather",,,3,,26.3,,2.65,
"16","Wood",4,6,26,346,178.4,4.07,4.7,0.5
"17/18","Paper & printing",7,17,7,5.3,5.3,1.56,1.56,1
"19","Coke & petroleum",4,16,4,52.8,52.8,3.6,3.6,1
"20","Chemicals",41,17,158,25.3,41,3.19,3.65,1.6
"21","Pharmaceuticals",3,17,22,4,51.4,1.12,3.33,13
"22","Rubber & plastics",3,12,58,4.7,79.5,1.55,4.21,17
"23","Non-metallic minerals",31,17,148,26.8,47.3,3.28,3.79,1.8
"24","Basic metals",12,17,27,29.3,72.6,3.26,3.99,2.5
"25","Fabricated metals",5,7,246,21.1,127.4,2.81,4.71,6
"26","Electronics",,,21,,101.9,,4.21,
"27","Electrical equipment",,,49,,94.3,,4.3,
"28","Machinery",4,5,150,8,75.3,2.16,4.24,9.4
"29","Motor vehicles",4,8,35,94.4,190.7,3.18,4.83,2
"30","Other transport",4,3,6,2.7,76,1.04,3.61,28
"31","Furniture",,,18,,120.9,,4.08,
"32","Other manufacturing",,,10,,151,,4.06,
"33","Repair & installation",,,81,,74.4,,4.17,
