"NACE","Sector","ETS_5d","Full_5d","ETS_log9010","Full_log9010","Ratio_log"
"10","Food",4,15,0.8,1.76,2.2
"11","Beverages",,2,,1.99,
"13","Textiles",2,5,0.68,1.99,2.9
"16","Wood",1,4,1.4,2.55,1.8
"17",,1,1,1.17,1.17,1
"19","Coke & petroleum",1,1,3.6,3.6,1
"20","Chemicals",4,10,2.59,2.67,1
"21","Pharmaceuticals",1,1,0.83,2.01,2.4
"22","Rubber & plastics",,4,,2.54,
"23","Non-metallic minerals",7,13,0.92,1.62,1.8
"24","Basic metals",1,3,2.11,1.91,0.9
"25","Fabricated metals",,8,,2.48,
"26","Electronics",,3,,1.77,
"27","Electrical equipment",,4,,1.82,
"28","Machinery",,10,,1.96,
"29","Motor vehicles",1,3,3.13,2.32,0.7
"30","Other transport",1,1,1.02,1.7,1.7
"33","Repair & installation",,3,,2.62,
